rib_number,angle,rib_colour
1,286.9,
1,126.0,Yes
1,95.1,No
1,76.2,Yes
1,72.7,
1,281.0,No
2,121.6,
2,135.3,Yes
2,171.0,Yes
2,45.9,No
2,318.7,Yes
2,286.2,Yes
2,255.0,
2,321.2,No
2,273.0,No
2,75.0,No
2,63.9,No
2,56.3,Yes
3,128.7,
3,232.0,No
3,267.6,No
3,316.5,No
3,114.1,Yes
3,103.4,No
3,315.6,Yes
3,59.5,No
3,174.0,Yes
3,60.3,No
3,39.5,Yes
3,300.7,
3,277.6,Yes
3,304.2,No
3,241.7,
3,295.0,No
3,313.0,No
3,146.0,No
3,270.9,No
3,45.0,No
3,72.3,No
3,67.8,No
3,64.2,Yes
3,127.4,Yes
3,326.3,Yes
4,131.4,
4,306.8,No
4,268.2,No
4,300.5,No
4,301.0,No
4,307.9,No
4,141.0,
4,96.5,No
4,138.0,Yes
4,316.3,Yes
4,67.5,No
4,142.0,Yes
4,60.8,No
4,38.4,Yes
4,53.7,No
4,301.5,
4,276.6,Yes
4,305.5,No
4,131.8,Yes
4,226.1,
4,72.2,No
4,294.0,No
4,40.9,Yes
4,307.0,No
4,87.0,No
4,269.3,No
4,69.7,No
4,112.1,No
4,75.2,No
4,63.8,Yes
4,102.7,No
4,122.5,Yes
4,324.0,Yes
4,73.6,No
4,151.0,No
5,95.0,Yes
5,132.3,
5,251.2,Yes
5,224.0,No
5,280.1,No
5,265.8,No
5,286.3,No
5,293.0,No
5,293.7,Yes
5,305.3,No
5,91.5,
5,94.3,No
5,102.1,Yes
5,299.1,Yes
5,67.9,No
5,277.9,Yes
5,150.1,Yes
5,66.1,No
5,52.1,Yes
5,50.2,No
5,301.9,
5,268.3,Yes
5,301.4,No
5,125.6,Yes
5,223.4,
5,75.2,No
5,283.2,No
5,84.5,No
5,66.7,Yes
5,307.0,No
5,140.1,No
5,78.0,No
5,209.4,No
5,83.4,No
5,115.2,No
5,78.5,No
5,246.8,No
5,62.5,Yes
5,105.7,No
5,294.9,
5,131.1,Yes
5,136.0,Yes
5,319.5,Yes
5,120.2,No
5,50.3,No
5,158.0,No
5,265.3,No
6,245.3,Yes
6,220.0,No
6,280.4,No
6,249.4,No
6,282.5,No
6,93.8,No
6,293.0,No
6,308.5,Yes
6,291.8,No
6,54.2,Yes
6,78.2,
6,121.9,No
6,111.6,Yes
6,300.0,Yes
6,271.3,Yes
6,82.3,No
6,157.2,Yes
6,68.9,No
6,114.1,
6,75.9,Yes
6,57.4,No
6,293.5,
6,287.7,Yes
6,285.2,Yes
6,287.8,No
6,150.8,Yes
6,235.8,
6,227.8,No
6,79.1,No
6,271.6,No
6,76.5,Yes
6,138.9,No
6,320.9,No
6,219.8,No
6,80.0,No
6,209.6,No
6,65.0,No
6,126.4,Yes
6,77.6,No
6,66.2,Yes
6,104.2,No
6,289.8,
6,238.6,Yes
6,111.5,Yes
6,194.9,Yes
6,273.0,No
6,126.7,No
6,45.5,No
6,280.4,No
6,161.0,No
6,261.6,No
7,98.0,Yes
7,105.0,No
7,239.6,Yes
7,205.0,No
7,242.6,No
7,286.9,No
7,73.3,No
7,294.0,No
7,290.4,No
7,48.6,Yes
7,66.6,
7,133.2,No
7,116.4,Yes
7,80.2,Yes
7,262.0,Yes
7,67.1,No
7,159.6,Yes
7,70.2,No
7,352.7,Yes
7,117.6,
7,89.0,Yes
7,288.3,
7,208.4,No
7,283.3,Yes
7,276.9,Yes
7,289.4,No
7,152.7,Yes
7,119.2,No
7,234.8,
7,221.5,No
7,89.2,No
7,259.9,No
7,87.4,Yes
7,281.0,No
7,133.2,No
7,313.1,No
7,211.6,No
7,93.0,No
7,205.4,No
7,71.0,No
7,272.7,
7,143.5,Yes
7,80.0,No
7,105.5,Yes
7,71.9,Yes
7,112.4,No
7,240.0,No
7,253.6,No
7,242.5,No
7,221.8,Yes
7,111.5,Yes
7,157.1,Yes
7,267.1,No
7,141.4,No
7,275.1,No
7,165.0,No
7,203.8,No
8,98.0,Yes
8,110.0,No
8,84.0,Yes
8,233.4,Yes
8,203.0,No
8,214.9,No
8,272.4,No
8,76.3,No
8,87.5,Yes
8,47.1,Yes
8,130.7,
8,130.7,No
8,116.8,Yes
8,272.6,Yes
8,163.0,Yes
8,352.5,Yes
8,262.6,Yes
8,116.8,No
8,121.5,
8,100.0,Yes
8,249.4,
8,91.1,
8,245.9,No
8,296.8,Yes
8,146.1,Yes
8,115.7,No
8,244.0,
8,255.7,No
8,94.6,No
8,248.6,No
8,72.8,No
8,298.2,No
8,213.0,No
8,113.0,No
8,210.9,No
8,74.0,No
8,270.4,
8,135.3,Yes
8,80.6,No
8,111.1,Yes
8,126.7,No
8,246.0,No
8,280.5,
8,266.4,No
8,253.5,No
8,247.5,No
8,67.6,No
8,195.9,Yes
8,141.4,No
8,164.0,No
8,254.3,No
9,70.0,Yes
9,254.0,Yes
9,232.2,Yes
9,205.0,No
9,217.7,No
9,122.0,No
9,264.3,No
9,84.3,No
9,98.7,Yes
9,74.4,No
9,90.4,Yes
9,265.5,Yes
9,170.0,Yes
9,268.7,Yes
9,261.0,Yes
9,127.9,No
9,125.4,
9,81.1,Yes
9,209.5,
9,92.5,
9,235.7,No
9,102.2,No
9,220.7,Yes
9,143.2,Yes
9,252.0,No
9,109.29,No
9,229.0,No
9,140.2,No
9,86.0,No
9,202.6,No
9,89.0,No
9,261.7,
9,132.4,Yes
9,216.6,Yes
9,270.2,Yes
9,118.3,Yes
9,135.9,No
9,242.9,No
9,245.1,
9,223.4,No
9,102.2,Yes
9,239.8,No
9,235.4,No
9,114.9,Yes
9,149.9,No
9,163.0,No
9,168.8,Yes
9,162.8,No
9,207.0,
9,256.9,No
9,142.8,Yes
10,90.0,Yes
10,85.0,Yes
10,219.0,Yes
10,245.9,No
10,139.7,No
10,106.8,No
10,253.5,No
10,97.5,Yes
10,132.1,
10,76.1,No
10,269.8,Yes
10,245.0,Yes
10,258.9,Yes
10,130.7,
10,104.8,Yes
10,232.6,
10,89.8,
10,249.2,No
10,108.9,No
10,219.8,Yes
10,222.3,No
10,102.7,No
10,248.2,No
10,237.7,No
10,140.0,No
10,258.9,
10,222.2,Yes
10,131.0,Yes
10,158.4,No
10,226.6,No
10,241.4,
10,271.1,No
10,116.4,Yes
10,227.5,No
10,239.0,No
10,147.8,No
10,165.1,Yes
10,203.0,
10,224.7,No
10,140.4,Yes
11,250.0,Yes
11,129.6,No
11,121.9,No
11,138.8,Yes
11,135.1,
11,81.8,No
11,270.2,Yes
11,269.3,Yes
11,247.0,Yes
11,225.3,
11,210.9,Yes
11,218.1,No
11,103.0,No
11,230.0,No
11,240.0,
11,223.9,Yes
11,165.4,Yes
11,157.7,No
11,218.1,
11,254.8,No
11,132.7,Yes
11,216.8,No
11,227.0,No
11,119.1,Yes
11,145.2,No
11,267.8,Yes
11,239.5,
12,129.9,No
12,218.2,Yes
12,105.4,Yes
12,220.0,No
12,158.5,Yes
